sim;PR2;PR5;PR10;PR20;TR;PHI;Temp;BGF;Inv;Maint;UNA;GA;CO2;TSS;TP;TN;Cu;Pb;Zn
sim95;0.51;0.46;0.44;0.51;0.37;0.36;0.0008;0.15;765064.4788;41656.48693;38.02628031;559.6680292;1052.183764;-0.64;-0.74;-0.69;-0.69;-0.64;-0.64
sim96;0.03;0.01;0.01;0.04;0.3;0.27;0.0016;0.3;2120467.896;119745.3395;62.27744894;1538.921907;1237.534415;0.95;0.89;0.9;0.91;0.95;0.95
sim97;0.48;0.38;0.39;0.44;0.48;0.45;0.0031;0.56;2804648.076;160598.1152;113.1177858;2122.127304;4327.463134;0.9;0.89;0.89;0.89;0.9;0.9
sim98;0;0;-0.01;-0.01;0.55;0.5;0.0016;0.31;1517240.46;79391.11819;100.9238215;1083.996937;2049.647342;0.81;0.8;0.8;0.8;0.81;0.81
sim99;0.29;0.28;0.3;0.29;0.32;0.27;0.0023;0.38;1560155.82;84816.5389;104.910533;1193.446355;2471.219164;0.96;0.95;0.96;0.96;0.97;0.96
sim100;0.29;0.22;0.24;0.28;0.53;0.5;0.0027;0.43;3285803.679;193145.9028;83.92963198;2520.023382;1976.94265;0.91;0.89;0.88;0.88;0.92;0.91
sim101;0.62;0.55;0.55;0.6;0.47;0.45;0.002;0.39;2105039.919;118753.5305;67.76169477;1539.504957;3010.138025;0.77;0.73;0.74;0.75;0.77;0.77
sim102;0.24;0.16;0.14;0.27;0.28;0.25;0.002;0.36;2597730.326;151952.0042;80.01995478;2011.728179;1594.437486;0.43;0.43;0.41;0.42;0.43;0.43
sim103;0.35;0.29;0.28;0.32;0.44;0.39;0.0031;0.53;2759805.781;158684.0179;88.76727841;2068.441866;4213.376309;0.96;0.94;0.94;0.94;0.96;0.96
sim104;0.35;0.26;0.28;0.28;0.48;0.45;0.0023;0.36;1870094.891;114768.501;38.69026846;1512.293762;3127.287524;1;1;1;1;1;1
sim105;0.44;0.44;0.5;0.44;0.28;0.25;0.0023;0.5;2663114.824;153604.4164;76.91826557;1985.024325;4025.380492;0.25;0.08;0.15;0.17;0.25;0.25
sim106;0.41;0.42;0.39;0.43;0.51;0.43;0.0027;0.48;2595638.78;156450.5523;58.14774398;2046.06432;4194.176083;0.96;0.94;0.94;0.94;0.96;0.96
sim107;0.48;0.46;0.47;0.48;0.31;0.3;0.0012;0.14;859262.0996;44063.93571;59.35210385;604.702654;464.6133917;0.6;0.31;0.43;0.46;0.59;0.6
sim108;0.19;0.13;0.15;0.19;0.56;0.5;0.002;0.5;2563742.033;151180.6186;82.76346885;2013.90857;4019.493391;0.72;0.71;0.71;0.71;0.72;0.72
sim109;0.56;0.38;0.31;0.44;0.44;0.43;0.0016;0.3;1437246.037;77771.17023;88.6959277;1074.260042;2041.25351;0.68;0.68;0.68;0.68;0.68;0.68
sim110;0.19;0.17;0.2;0.21;0.57;0.55;0.0016;0.15;864095.6864;44144.98039;70.2839455;618.7710352;577.9120669;0.87;0.81;0.84;0.84;0.87;0.87
sim111;0.22;0.2;0.22;0.22;0.35;0.34;0.0027;0.55;2901951.631;162210.9213;101.1463124;2105.235912;4123.27203;0.87;0.74;0.79;0.8;0.87;0.87
sim112;0.38;0.27;0.28;0.35;0.22;0.21;0.0016;0.33;2226850.552;120770.9381;89.60858908;1559.034488;1257.061561;0.93;0.81;0.85;0.86;0.92;0.93
